zip,total,grand_total,perc
20741,16193.2,20328513.18,0.0796575718874094
20742,444,20328513.18,0.00218412431872698
20743,21754.45,20328513.18,0.107014466859302
20744,96990.27,20328513.18,0.477114431051568
20745,37537.44,20328513.18,0.184654134159358
20746,17308.44,20328513.18,0.085143659286547
20747,24257.35,20328513.18,0.119326729826288
20748,36519.45,20328513.18,0.179646438854807
20749,3599,20328513.18,0.0177041968988703
20750,2515.76,20328513.18,0.0123755238650464
20751,10899.08,20328513.18,0.0536147425219614
20752,275,20328513.18,0.00135277970191423
20753,1117,20328513.18,0.00549474518922982
20754,7766.02,20328513.18,0.0382025971660363
20755,2158.54,20328513.18,0.0106182876282544
20756,25,20328513.18,0.000122979972901294
20757,150,20328513.18,0.000737879837407764
20758,1886.29,20328513.18,0.00927903572335928
20759,25238.81,20328513.18,0.124154726794436
20760,27.5,20328513.18,0.000135277970191423
20762,728,20328513.18,0.00358117681088568
20763,6937.68,20328513.18,0.034127827935914
20764,13764.1,20328513.18,0.0677083458004281
20765,2040,20328513.18,0.0100351657887456
20768,642.5,20328513.18,0.00316058530356326
20769,40900.44,20328513.18,0.20119740011404
20770,94850.85,20328513.18,0.466590198506588
20772,77618.04,20328513.18,0.381818578234062
20773,640.3,20328513.18,0.00314976306594794
20774,87764.19,20328513.18,0.431729508316161
20775,335,20328513.18,0.00164793163687734
20776,7794.5,20328513.18,0.0383426959511655
20777,25644.29,20328513.18,0.126149363570917
20778,3251.97,20328513.18,0.0159970872990329
20779,16548.51,20328513.18,0.0814054124542718
20781,44207.49,20328513.18,0.217465436889369
20782,102910.54,20328513.18,0.506237416818302
20783,23054.53,20328513.18,0.113409818986083
20784,16966.52,20328513.18,0.0834616867931706
20785,47805.02,20328513.18,0.235162402565833
20786,4.4,20328513.18,2.16444752306278e-05
20787,248,20328513.18,0.00121996133118084
20791,754.5,20328513.18,0.00371153558216105
20792,2698.46,20328513.18,0.013274261507009
20794,9360.8,20328513.18,0.0460476372133773
20795,246,20328513.18,0.00121012293334873
20798,25,20328513.18,0.000122979972901294
20800,275,20328513.18,0.00135277970191423
20801,30,20328513.18,0.000147575967481553
20802,75,20328513.18,0.000368939918703882
20803,161.5,20328513.18,0.00079445062494236
20804,50,20328513.18,0.000245959945802588
20805,2918.5,20328513.18,0.0143566820364971
20806,117,20328513.18,0.000575546273178056
20807,75,20328513.18,0.000368939918703882
20810,4162.6,20328513.18,0.0204766574079571
20812,9983.2,20328513.18,0.049109346618728
20813,5800,20328513.18,0.0285313537131002
20814,852308.93,20328513.18,4.19267716459724
20815,2476159.11,20328513.18,12.1807192098837
20816,626049.57,20328513.18,3.07966236613867
20817,1340696.1,20328513.18,6.59515080187483
20818,92990.91,20328513.18,0.457440783674667
20819,25,20328513.18,0.000122979972901294
20824,2735.5,20328513.18,0.0134564686348596
20825,1118.19,20328513.18,0.00550059903593992
20827,1020.98,20328513.18,0.00502240370931053
20830,880,20328513.18,0.00432889504612555
20832,115354.08,20328513.18,0.567449665298148
20833,34761.42,20328513.18,0.17099833958442
20834,208,20328513.18,0.00102319337453877
20835,299.72,20328513.18,0.00147438229911903
20836,339,20328513.18,0.00166760843254155
20837,24140.17,20328513.18,0.118750298097305
20838,5862.5,20328513.18,0.0288388036453535
20839,250,20328513.18,0.00122979972901294
20840,20,20328513.18,9.83839783210352e-05
20841,51763.85,20328513.18,0.254636674810666
20842,11821.21,20328513.18,0.0581508834184203
20843,153,20328513.18,0.00075263743415592
20846,15,20328513.18,7.37879837407764e-05
20847,50,20328513.18,0.000245959945802588
20848,310,20328513.18,0.00152495166397605
20849,1622.86,20328513.18,0.00798317115290376
20850,362622.99,20328513.18,1.78381461934345
20851,26691.79,20328513.18,0.131302224435481
20852,432156.09,20328513.18,2.12586176949317
20853,120246.59,20328513.18,0.591516895186921
20854,1032443.47,20328513.18,5.07879479850872
20855,83307.91,20328513.18,0.409808180570538
